GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,total_votes,VVD,Average_House_Price,Average_Income,Population_Density,Population_Increase
Krimpenerwaard,GM1931,K15,P28,37253,6221,312.8,26.0,385,70
Lansingerland,GM1621,K15,P28,39061,8806,396.0,30.3,1203,229
Leiden,GM0546,K15,P28,76417,8939,349.2,26.6,5724,-16
Leiderdorp,GM0547,K15,P28,17266,3191,325.7,29.0,2388,-23
Leidschendam-Voorburg,GM1916,K15,P28,43901,9486,340.4,30.8,2351,-115
Lisse,GM0553,K15,P28,15200,3175,353.9,27.0,1466,-18
Nieuwkoop,GM0569,K15,P28,18863,3970,344.4,27.5,373,35
Noordwijk,GM0575,K15,P28,28259,6815,385.0,29.2,760,-39
Oegstgeest,GM0579,K15,P28,15671,3594,432.4,36.6,3498,-24
Pijnacker-Nootdorp,GM1926,K15,P28,34703,7569,375.9,28.9,1534,162
Teylingen,GM1525,K15,P28,24921,5877,395.3,30.4,1340,-13
Voorschoten,GM0626,K15,P28,16105,3578,426.9,32.3,2307,-76
Waddinxveen,GM0627,K15,P28,19906,3206,272.0,26.0,1129,234
Wassenaar,GM0629,K15,P28,14980,4908,711.3,46.7,530,-260
Zoetermeer,GM0637,K15,P28,71155,12212,289.0,26.4,3653,152
Zoeterwoude,GM0638,K15,P28,6151,1122,306.3,28.0,440,1
Zuidplas,GM1892,K15,P28,28138,5251,323.9,28.1,790,151
Borsele,GM0654,K16,P29,14982,1979,241.4,24.5,161,28
Goes,GM0664,K16,P29,23824,3861,268.7,25.7,421,-124
Hulst,GM0677,K16,P29,14941,2506,225.3,25.9,137,-139
Kapelle,GM0678,K16,P29,8427,1355,260.6,25.2,351,7
Middelburg,GM0687,K16,P29,29510,3933,258.0,24.8,1017,-44
Noord-Beveland,GM1695,K16,P29,5192,847,238.1,24.9,89,-43
Reimerswaal,GM0703,K16,P29,13371,1263,217.4,22.0,225,121
Schouwen-Duiveland,GM1676,K16,P29,23077,4014,303.2,26.2,149,-129
Sluis,GM1714,K16,P29,12817,2401,246.4,24.8,83,-119
Terneuzen,GM0715,K16,P29,28902,4018,201.6,24.8,218,-330
Tholen,GM0716,K16,P29,16609,1728,232.9,22.7,180,104
Veere,GM0717,K16,P29,15080,2572,332.8,25.7,164,-52
Vlissingen,GM0718,K16,P29,24153,3485,197.4,23.4,1297,-225
Alphen-Chaam,GM1723,K17,P30,6979,1651,347.8,27.3,112,-35
Altena,GM1959,K17,P30,36402,4603,291.4,25.0,285,48
Baarle-Nassau,GM0744,K17,P30,4322,708,334.1,25.0,91,-27
Bergen op Zoom,GM0748,K17,P30,38075,7043,255.7,25.0,849,-85
Breda,GM0758,K17,P30,108231,22558,350.0,27.3,1470,-17
Dongen,GM0766,K17,P30,16469,3288,289.7,25.5,906,-59
Drimmelen,GM1719,K17,P30,17983,3603,289.6,26.7,289,-45
Etten-Leur,GM0777,K17,P30,26369,5274,300.6,25.6,799,-38
Geertruidenberg,GM0779,K17,P30,13366,2422,259.4,25.6,825,-26
Gilze en Rijen,GM0784,K17,P30,16239,2924,304.9,25.0,406,-56
Goirle,GM0785,K17,P30,15491,3002,339.2,26.6,558,-36
Halderberge,GM1655,K17,P30,18382,3634,304.2,25.4,413,-112
Hilvarenbeek,GM0798,K17,P30,10913,2259,362.6,27.4,167,-1
Loon op Zand,GM0809,K17,P30,14832,2996,306.8,25.6,476,-65
